date,price,volume
2002-03-25,88.03,2448400
2002-03-26,88.85,2990200
2002-03-27,89.3,2372600
2002-03-28,90.25,2696000
2002-04-01,88.47,2711500
2002-04-02,87.53,2226100
2002-04-03,86.46,2619200
2002-04-04,86.55,2075300
2002-04-05,86.15,2209900
2002-04-08,86.06,2538600
2002-04-09,84.6,2844800
2002-04-10,84.49,3825200
2002-04-11,81.24,5272100
2002-04-12,83,5215500
2002-04-15,81.6,2664100
2002-04-16,84.59,3260500
2002-04-17,85.05,2970700
2002-04-18,84.52,2494900
2002-04-19,86.31,3567900
2002-04-22,84.1,2826500
2002-04-23,81.6,3413800
2002-04-24,79.49,4664200
2002-04-25,77.21,5830000
2002-04-26,79.15,5930300
2002-04-29,78.5,4251500
2002-04-30,78.75,3802700
2002-05-01,79.21,4153900
2002-05-02,80.71,4576800
2002-05-03,78.55,3450400
2002-05-06,75.16,3258900
2002-05-07,74.85,4740400
2002-05-08,79.5,4604100
2002-05-09,78.64,3616700
2002-05-10,76.75,2895700
2002-05-13,78.11,2864100
2002-05-14,79.3,3574300
2002-05-15,79.46,3011500
2002-05-16,80.05,2797900
2002-05-17,80.5,3149600
2002-05-20,80.24,1968800
2002-05-21,79.2,3338600
2002-05-22,78.2,3699500
2002-05-23,79.17,3379600
2002-05-24,78.19,1150000
2002-05-28,76.9,2628600
2002-05-29,76.15,2049300
2002-05-30,75.08,3467600
2002-05-31,75.45,2759000
2002-06-03,73.79,3018900
2002-06-04,73.8,4054500
2002-06-05,75.75,3781800
2002-06-06,73.95,2711600
2002-06-07,73.95,3165700
2002-06-10,74.74,2265700
2002-06-11,72.1,2176300
2002-06-12,72.5,4614700
2002-06-13,71.3,2234200
2002-06-14,72.85,3239700
2002-06-17,75.34,3078200
2002-06-18,75.78,2993400
2002-06-19,74.45,2671000
2002-06-20,72.7,3556400
2002-06-21,70.55,4400100
2002-06-24,71.45,5527100
2002-06-25,71.35,5773000
2002-06-26,70.8,5441300
2002-06-27,73,4063800
2002-06-28,73.35,3451600
2002-07-01,71.14,3114800
2002-07-02,70.7,3978400
2002-07-03,70.2,3413900
2002-07-05,73.95,2084900
2002-07-08,73.6,3157000
2002-07-09,70.91,4185300
2002-07-10,71.55,11826900
2002-07-11,73.25,8892300
2002-07-12,73.15,4583400
2002-07-15,72.95,5979800
2002-07-16,72.65,6129200
2002-07-17,74.48,7505700
2002-07-18,75.6,8952500
2002-07-19,77,55185900
2002-07-22,72,18432400
2002-07-23,67.73,14447700
2002-07-24,70.85,12852000
2002-07-25,69.31,8214700
2002-07-26,69.58,5700700
2002-07-29,72.7,5980700
2002-07-30,73.9,5524200
2002-07-31,73.15,5047700
2002-08-01,71.99,3826900
2002-08-02,70.49,3932600
2002-08-05,68.05,4555300
2002-08-06,69.9,5498900
2002-08-07,70.95,5223800
2002-08-08,74.3,5175000
2002-08-09,75.45,4399600
2002-08-12,75.35,4323900
2002-08-13,74.79,7971500
2002-08-14,78.5,7010600
2002-08-15,79.55,7417400
2002-08-16,79.53,5253900
2002-08-19,81.5,4848700
2002-08-20,80.51,4701400
