발생년월일시,발생분,주야,요일,사망자수,중상자수,경상자수,발생지시도,발생지시군구,사고유형_대분류,사고유형,법규위반,도로형태_대분류,당사자종별_1당_대분류,당사자종별_2당_대분류
2016032307,30,주간,수,1,0,0,광주,동구,차량단독,도로이탈 기타,안전운전 의무 불이행,기타/불명,승용차,
2016032323,55,야간,수,1,0,0,서울,강서구,차대차,측면직각충돌,신호위반,교차로,자전거,승용차
2016032020,15,야간,일,1,0,0,전남,여수시,차대사람,횡단중,보행자 보호의무 위반,단일로,승용차,보행자
2016032807,10,주간,월,1,1,7,전남,여수시,차대차,측면직각충돌,신호위반,교차로,승용차,승합차
2016032721,25,야간,일,1,0,0,충남,부여군,차량단독,전도전복,안전운전 의무 불이행,교차로,승용차,
2016032502,28,야간,금,1,1,0,경기,의정부시,차대차,측면직각충돌,신호위반,교차로,승용차,승용차
2016032522,45,야간,금,1,1,0,대전,유성구,차대차,정면충돌,신호위반,교차로,이륜차,승용차
2016040101,40,야간,금,1,0,0,서울,강북구,차대사람,횡단중,안전운전 의무 불이행,단일로,승용차,보행자
2016032819,0,야간,월,1,0,0,충남,태안군,차대차,정면충돌,중앙선 침범,단일로,원동기장치자전거,승용차
2016021908,25,주간,금,1,0,0,전북,완주군,차대사람,기타,기타(운전자법규위반),단일로,승용차,보행자
2016032906,34,주간,화,1,0,0,대구,수성구,차량단독,전도전복,안전운전 의무 불이행,고가도로위,승용차,
2016040605,22,야간,수,1,1,1,서울,용산구,차대차,진행중 추돌,과속,단일로,승용차,이륜차
2016040222,50,야간,토,1,0,0,경기,안성시,차대사람,기타,안전운전 의무 불이행,단일로,화물차,보행자
2016031005,42,야간,목,1,0,0,경북,경주시,차대사람,기타,과속,단일로,승용차,보행자
2016031618,5,야간,수,1,0,0,강원,춘천시,차대사람,횡단중,안전운전 의무 불이행,교차로,승용차,보행자
2016031519,30,야간,화,1,0,0,경기,광주시,차대차,진행중 추돌,안전운전 의무 불이행,단일로,화물차,화물차
2016031514,50,주간,화,1,1,0,제주,서귀포시,차대차,기타,직진 및 우회전차의 통행방해,교차로,화물차,승용차
2016031612,20,주간,수,1,0,0,충남,홍성군,차대차,측면직각충돌,교차로 통행방법 위반,교차로,이륜차,화물차
2016031800,55,야간,금,1,0,0,부산,해운대구,차대사람,횡단중,안전운전 의무 불이행,단일로,이륜차,보행자
2016031723,50,야간,목,1,0,0,경북,청도군,차대사람,기타,안전운전 의무 불이행,단일로,승용차,보행자
